channel_id,video_id,title,published_at,week,month,title_length,view_count,like_count,comment_count,engmt_rate,clean_title,engmt_h
UC_0Gls5n4NOo-aRYVayQf0w,Nu9eDBypHZ0,"LIFE LATELY | Home Updates, Baby Prep, Furniture Shopping, New Car?!",2024-11-24 14:48:47+00:00,2024-11-18,2024-11,68,10706.0,214.0,32.0,0.019988791331963386,life lately  home updates baby prep furniture shopping new car,0.03493368204745003
UC_0Gls5n4NOo-aRYVayQf0w,encjH578kbA,"MOVING VLOG EP:1 | Empty House Tour, Moving Day, Nursery Plans + more",2024-10-01 14:07:03+00:00,2024-09-30,2024-10,69,12912.0,366.0,34.0,0.028345724907063198,moving vlog ep1  empty house tour moving day nursery plans  more,0.04151177199504337
UC_0Gls5n4NOo-aRYVayQf0w,zPCu-EgiDRw,flew all the way to europe to tell them in person 🤍,2024-07-17 18:30:44+00:00,2024-07-15,2024-07,51,10507.0,1496.0,21.0,0.14238126962977063,flew all the way to europe to tell them in person ,0.15237460740458741
UC_0Gls5n4NOo-aRYVayQf0w,cX-blR-kJPU,pregnant girl summer 🤰,2024-07-17 18:28:32+00:00,2024-07-15,2024-07,22,1787.0,41.0,2.0,0.02294348069390039,pregnant girl summer ,0.028539451594851706
UC_0Gls5n4NOo-aRYVayQf0w,YKzXRGK9jAk,"we love you, baby 🤍",2024-07-17 18:18:46+00:00,2024-07-15,2024-07,19,1940.0,84.0,7.0,0.04329896907216495,we love you baby ,0.06134020618556701
UC_0Gls5n4NOo-aRYVayQf0w,9frjgwl1Yz8,"LIFE LATELY 🤍 | At Home, Dyson Tutorial, Brand Events, Catch Up, Cooking etc.",2024-06-02 13:00:27+00:00,2024-05-27,2024-06,77,8357.0,192.0,16.0,0.022974751705157354,life lately   at home dyson tutorial brand events catch up cooking etc,0.032547564915639586
UC_0Gls5n4NOo-aRYVayQf0w,pBxYGjmSTCM,"LONDON VLOG 🇬🇧💂🏻‍♀️💍 | surprise engagement!!! shopping + food, meet Josh’s family…",2024-04-07 13:00:51+00:00,2024-04-01,2024-04,82,10919.0,242.0,13.0,0.022163201758402785,london vlog   surprise engagement shopping  food meet joshs family,0.028116127850535765
UC_0Gls5n4NOo-aRYVayQf0w,vL7tFQS3fWI,Silent GRWM ❤️,2024-02-23 18:05:22+00:00,2024-02-19,2024-02,14,947.0,30.0,0.0,0.03167898627243928,silent grwm ,0.03167898627243928
UC_0Gls5n4NOo-aRYVayQf0w,IuRKH7sMoRk,MY GO-TO LIP COMBO 👄,2024-02-23 18:00:48+00:00,2024-02-19,2024-02,20,2514.0,56.0,0.0,0.022275258552108195,my goto lip combo ,0.022275258552108195
UC_0Gls5n4NOo-aRYVayQf0w,jLINmJ7U6cM,What actually happens @ NYFW 🍵,2024-02-21 14:34:46+00:00,2024-02-19,2024-02,30,1727.0,50.0,1.0,0.02895193977996526,what actually happens  nyfw ,0.03184713375796178
UC_0Gls5n4NOo-aRYVayQf0w,ekTaM2ZteE4,"BIRTHDAY VLOG 🎂🍸🎲 | Bday Party BTS, Girls Weekend in Toronto, Date Night, etc.",2024-02-04 14:47:36+00:00,2024-01-29,2024-02,78,9276.0,221.0,21.0,0.02382492453643812,birthday vlog   bday party bts girls weekend in toronto date night etc,0.03514445881845623
UC_0Gls5n4NOo-aRYVayQf0w,dfxTtbqs6VI,"HAWAII VLOG 🌺 | staying @ the white lotus hotel hehe, turning 30, driving 10,000ft above the clouds",2024-01-21 14:02:39+00:00,2024-01-15,2024-01,99,15413.0,340.0,35.0,0.022059300590410693,hawaii vlog   staying  the white lotus hotel hehe turning 30 driving 10000ft above the clouds,0.03341335236488678
UC_0Gls5n4NOo-aRYVayQf0w,3KAV98INA8c,"A New York Minute | Weekend Getaway With Josh, Restaurant Reviews, etc.",2023-12-19 17:44:49+00:00,2023-12-18,2023-12,71,5359.0,155.0,19.0,0.02892330658704982,a new york minute  weekend getaway with josh restaurant reviews etc,0.04665049449524165
UC_0Gls5n4NOo-aRYVayQf0w,xoEYM9xqo4A,"TEL AVIV VLOG | Josh Takes Over The Vlog, Food Tour, Come Shop With Me",2023-08-28 12:29:14+00:00,2023-08-28,2023-08,70,7540.0,264.0,22.0,0.0350132625994695,tel aviv vlog  josh takes over the vlog food tour come shop with me,0.04960212201591512
UC_0Gls5n4NOo-aRYVayQf0w,D9E-xb2WT58,NYC VLOG | we did WHAT to see the Jonas Brothers...,2023-08-20 16:28:11+00:00,2023-08-14,2023-08,51,3532.0,130.0,6.0,0.03680634201585504,nyc vlog  we did what to see the jonas brothers,0.045300113250283124
UC_0Gls5n4NOo-aRYVayQf0w,YHjnJOnIDVg,Build My Capsule Wardrobe With Me,2023-06-19 16:01:02+00:00,2023-06-19,2023-06,33,2920.0,72.0,0.0,0.024657534246575342,build my capsule wardrobe with me,0.024657534246575342
UC_0Gls5n4NOo-aRYVayQf0w,gkL92bg1XFw,Outfits We Wore In Mallorca,2023-06-19 15:58:52+00:00,2023-06-19,2023-06,27,2646.0,67.0,0.0,0.025321239606953892,outfits we wore in mallorca,0.025321239606953892
UC_0Gls5n4NOo-aRYVayQf0w,Lot9_39Vpns,WE MOVED TO LA?!,2023-05-28 18:53:44+00:00,2023-05-22,2023-05,16,9181.0,219.0,24.0,0.023853610717786734,we moved to la,0.036924082343971244
UC_0Gls5n4NOo-aRYVayQf0w,OK6VAqaZhJE,NITSAN x DYNAMITE | I designed my own dress collection!!!!,2023-05-14 17:14:29+00:00,2023-05-08,2023-05,58,3787.0,124.0,10.0,0.03274359651439134,nitsan x dynamite  i designed my own dress collection,0.045946659625033005
UC_0Gls5n4NOo-aRYVayQf0w,13EAb839WgU,Team Trying Fruit Roll-Ups + Ice Cream,2023-04-20 01:57:57+00:00,2023-04-17,2023-04,38,2890.0,85.0,2.0,0.029411764705882353,team trying fruit rollups  ice cream,0.0328719723183391
UC_0Gls5n4NOo-aRYVayQf0w,amr2UlngqAI,Styling My NEW Chanel Flats ✨,2023-04-13 14:23:18+00:00,2023-04-10,2023-04,29,8950.0,132.0,3.0,0.014748603351955308,styling my new chanel flats ,0.01642458100558659
UC_0Gls5n4NOo-aRYVayQf0w,SqCSFmxVZh0,a question i’ll wonder for the rest of my life!,2023-04-13 14:17:02+00:00,2023-04-10,2023-04,47,1961.0,22.0,0.0,0.011218765935747067,a question ill wonder for the rest of my life,0.011218765935747067
UC_0Gls5n4NOo-aRYVayQf0w,spgszY7Odvo,🇨🇦 🤍,2023-04-13 14:09:39+00:00,2023-04-10,2023-04,4,2863.0,40.0,0.0,0.013971358714634998, ,0.013971358714634998
UC_0Gls5n4NOo-aRYVayQf0w,ZWgyDNfb1Ss,What Me + My Team Wore To Work Today,2023-03-31 16:37:42+00:00,2023-03-27,2023-03,36,3213.0,73.0,4.0,0.022720199190787427,what me  my team wore to work today,0.028944911297852476
UC_0Gls5n4NOo-aRYVayQf0w,LnpLjoVhSvM,OUTFIT CHECK 🖤,2023-03-31 16:22:50+00:00,2023-03-27,2023-03,14,911.0,32.0,3.0,0.03512623490669594,outfit check ,0.05159165751920966
UC_0Gls5n4NOo-aRYVayQf0w,Ndy_I7K3sto,Reuniting With My Puppy 🥺,2023-03-31 16:20:44+00:00,2023-03-27,2023-03,25,3062.0,136.0,2.0,0.04441541476159373,reuniting with my puppy ,0.04768125408229915
UC_0Gls5n4NOo-aRYVayQf0w,G9Dyt88IXvA,NYFW Outfit 🐥,2023-03-31 16:17:58+00:00,2023-03-27,2023-03,13,1982.0,49.0,2.0,0.02472250252270434,nyfw outfit ,0.029767911200807264
UC_0Gls5n4NOo-aRYVayQf0w,MzSI5SeEZZs,MIAMI GNO 🍸,2023-03-31 16:15:22+00:00,2023-03-27,2023-03,11,1889.0,38.0,1.0,0.02011646373742721,miami gno ,0.022763366860772894
UC_0Gls5n4NOo-aRYVayQf0w,N16tEHDlVdk,Outfit Reveal New York Fashion Week,2023-03-20 20:12:56+00:00,2023-03-20,2023-03,35,2038.0,46.0,0.0,0.022571148184494603,outfit reveal new york fashion week,0.022571148184494603
UC_0Gls5n4NOo-aRYVayQf0w,v9eR9YSNEW4,FORBES WROTE AN ARTICLE ON MY BUSINESS,2023-03-20 18:59:12+00:00,2023-03-20,2023-03,38,1901.0,53.0,6.0,0.027880063124671225,forbes wrote an article on my business,0.0436612309310889
UC_0Gls5n4NOo-aRYVayQf0w,mrGGm2um8Q8,Fenty Liquid Lipsticks: First Impression,2023-03-20 18:55:17+00:00,2023-03-20,2023-03,40,2646.0,73.0,5.0,0.02758881330309902,fenty liquid lipsticks first impression,0.037037037037037035
UC_0Gls5n4NOo-aRYVayQf0w,jgneIQt-iJo,POV: Your Dog Is Your Best Friend/Therapist,2023-03-20 18:51:01+00:00,2023-03-20,2023-03,43,509.0,17.0,0.0,0.03339882121807466,pov your dog is your best friendtherapist,0.03339882121807466
UC_0Gls5n4NOo-aRYVayQf0w,m4kNleMG1-k,We’re back!!! NYFW 2023,2023-02-26 17:00:09+00:00,2023-02-20,2023-02,23,7991.0,262.0,20.0,0.03278688524590164,were back nyfw 2023,0.04530096358403204
UC_0Gls5n4NOo-aRYVayQf0w,99RCcXMDAkc,Surprising My Long Distance Bestie,2023-01-30 22:01:53+00:00,2023-01-30,2023-01,34,2671.0,80.0,0.0,0.02995132909022838,surprising my long distance bestie,0.02995132909022838
UC_0Gls5n4NOo-aRYVayQf0w,2J96cGD_060,When The Clock Strikes 4:59pm 🍷,2023-01-30 21:59:37+00:00,2023-01-30,2023-01,31,5659.0,91.0,2.0,0.01608057960770454,when the clock strikes 459pm ,0.017847676267891854
UC_0Gls5n4NOo-aRYVayQf0w,BAe1pi4rIWg,Testing My Husband 👀,2023-01-30 21:55:22+00:00,2023-01-30,2023-01,20,2258.0,47.0,3.0,0.020814880425155006,testing my husband ,0.02745792736935341
UC_0Gls5n4NOo-aRYVayQf0w,FCK_3F7fr90,How I Edit My Photos!,2023-01-20 21:08:37+00:00,2023-01-16,2023-01,21,2318.0,44.0,2.0,0.01898188093183779,how i edit my photos,0.023295944779982744
UC_0Gls5n4NOo-aRYVayQf0w,2Kq1mrn5gnY,"World, Meet… 😭🐶🤍!!!!",2023-01-19 17:35:12+00:00,2023-01-16,2023-01,20,1112.0,48.0,4.0,0.04316546762589928,world meet ,0.06115107913669065
UC_0Gls5n4NOo-aRYVayQf0w,lf-u6H37lzY,GUCCI SENT ME A BAG!!!,2023-01-19 17:30:54+00:00,2023-01-16,2023-01,22,6916.0,133.0,4.0,0.019230769230769232,gucci sent me a bag,0.022122614227877386
UC_0Gls5n4NOo-aRYVayQf0w,hJ_2h2_uFWE,My Self Tanning Routine 🤍,2023-01-19 17:24:52+00:00,2023-01-16,2023-01,25,2843.0,69.0,1.0,0.02427013717903623,my self tanning routine ,0.026028842771720014
UC_0Gls5n4NOo-aRYVayQf0w,VdwilysFXDs,Winter Wonderland With Alo,2022-11-11 19:58:09+00:00,2022-11-07,2022-11,26,728.0,26.0,0.0,0.03571428571428571,winter wonderland with alo,0.03571428571428571
UCrJFUWdSQqRcH5aQ_CEtsMQ,DsU0AH76F4Y,"productive days at university 👩🏻‍🎓7AM morning routine, final year, grwm for 4 hours of class",2025-04-01 09:00:14+00:00,2025-03-31,2025-04,92,78800.0,2147.0,35.0,0.027246192893401015,productive days at university 7am morning routine final year grwm for 4 hours of class,0.029467005076142132
UCrJFUWdSQqRcH5aQ_CEtsMQ,PA26fgJgXb4,How to REBRAND yourself and become THAT GIRL (the ultimate 2025 RESET guide),2025-02-17 07:00:27+00:00,2025-02-17,2025-02,76,270303.0,10780.0,60.0,0.03988117039026574,how to rebrand yourself and become that girl the ultimate 2025 reset guide,0.04099103598554215
UCrJFUWdSQqRcH5aQ_CEtsMQ,IO-bgoLsvQg,"UNI VLOG 💻 6AM morning, exam season, end of sem, 8hrs of class, new study chair, apartment cleanup",2024-12-01 08:00:10+00:00,2024-11-25,2024-12,98,32657.0,957.0,31.0,0.02930459013381511,uni vlog  6am morning exam season end of sem 8hrs of class new study chair apartment cleanup,0.03405089261107879
UCrJFUWdSQqRcH5aQ_CEtsMQ,aeM-R4lq4Mg,"7 days in Shanghai 🇨🇳 best restaurants and places to visit, trendy shops, China travel tips",2024-11-30 08:00:03+00:00,2024-11-25,2024-11,91,78783.0,1772.0,53.0,0.02249216201464783,7 days in shanghai  best restaurants and places to visit trendy shops china travel tips,0.025855831841894824
UCrJFUWdSQqRcH5aQ_CEtsMQ,XEDWeCwDopY,"UNI VLOG 💻 6AM morning, 8hrs on campus, library study, grwm for a night out, home cooking",2024-11-28 10:00:37+00:00,2024-11-25,2024-11,89,26801.0,875.0,29.0,0.03264803552106265,uni vlog  6am morning 8hrs on campus library study grwm for a night out home cooking,0.038058281407410174
UCrJFUWdSQqRcH5aQ_CEtsMQ,C7XlgTBl6Bc,How to get clear glass skin using #kbeauty,2024-11-25 10:24:59+00:00,2024-11-25,2024-11,42,6201.0,252.0,6.0,0.040638606676342524,how to get clear glass skin using kbeauty,0.045476536042573776
UCrJFUWdSQqRcH5aQ_CEtsMQ,UDbUFHhZ1z4,"UNI VLOG 💻 5AM morning, 8hrs of uni, study routine, apartment cleanup, new hair, beauty haul",2024-11-24 08:00:32+00:00,2024-11-18,2024-11,92,39821.0,1117.0,48.0,0.02805052610431682,uni vlog  5am morning 8hrs of uni study routine apartment cleanup new hair beauty haul,0.03407749679817182
UCrJFUWdSQqRcH5aQ_CEtsMQ,_gUMSiPFCa8,"UNI VLOG 💻 5AM morning, studying at the library, classes, self care night routine, grocery shopping",2024-11-12 11:00:45+00:00,2024-11-11,2024-11,99,67158.0,1862.0,46.0,0.027725661872003336,uni vlog  5am morning studying at the library classes self care night routine grocery shopping,0.031150421394323835
UCrJFUWdSQqRcH5aQ_CEtsMQ,TOcjHBGG_4M,"UNI VLOG 💻 6AM morning, back to school, 8 hour days, library study, new study room, making friends",2024-09-30 11:00:34+00:00,2024-09-30,2024-09,98,78786.0,1967.0,50.0,0.024966364582540045,uni vlog  6am morning back to school 8 hour days library study new study room making friends,0.02813951717310182
UCrJFUWdSQqRcH5aQ_CEtsMQ,L1NAgKg-4nY,"Back to School Shopping 2024 📔 Clothes, Stationary, K-beauty, Skincare (shopping + haul)",2024-09-29 11:44:30+00:00,2024-09-23,2024-09,88,66669.0,1943.0,47.0,0.029143979960701377,back to school shopping 2024  clothes stationary kbeauty skincare shopping  haul,0.03266885659001935
UCrJFUWdSQqRcH5aQ_CEtsMQ,Z1h0GVOjnyE,"4 days in Seoul South Korea🇰🇷best restaurants, cafes, shopping (hongdae, myeongdong,itaewon)",2024-09-28 10:00:34+00:00,2024-09-23,2024-09,92,103730.0,1955.0,36.0,0.018847006651884702,4 days in seoul south koreabest restaurants cafes shopping hongdae myeongdongitaewon,0.020582280921623446
UCrJFUWdSQqRcH5aQ_CEtsMQ,FhT8peL2Dn4,"Productive days in my life 💻 getting back into routine, room makeover, end of exams, home chores",2024-09-26 10:00:30+00:00,2024-09-23,2024-09,96,36915.0,1156.0,39.0,0.031315183529730464,productive days in my life  getting back into routine room makeover end of exams home chores,0.03659758905593932
UCrJFUWdSQqRcH5aQ_CEtsMQ,P20vnbEcuSE,"3 days in Tokyo🗼Ginza, Omotesando, Tokyo tower, Shiba Park, famous restaurant recommendations",2024-09-02 11:02:54+00:00,2024-09-02,2024-09,93,56044.0,1265.0,54.0,0.022571550924273785,3 days in tokyoginza omotesando tokyo tower shiba park famous restaurant recommendations,0.027389194204553564
